participant,participant_order,participant_session,condition,condition_session,source_file,event,count
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,candidate_changed,19
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,mode_changed,10
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,pose_tracking_lost,4
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,pose_tracking_restored,3
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,touch_started,2
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,selection_confirmed,2
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,touch_ended,2
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,detail_entered,2
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,space_pressed,2
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,session_start,1
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,intro_back_clicked,1
1,MoveFirst,1,MoveDistance,1,user_events_20260610_141031_033.tsv,session_end,1
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,candidate_changed,15
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,mode_changed,6
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,touch_started,3
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,touch_ended,3
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,selection_confirmed,2
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,detail_entered,2
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,space_pressed,2
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,session_start,1
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,pose_tracking_lost,1
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,pose_tracking_restored,1
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,detail_exited,1
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,intro_back_clicked,1
1,MoveFirst,2,MoveDistance,2,user_events_20260610_141202_580.tsv,session_end,1
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,candidate_changed,13
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,mode_changed,12
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,pose_tracking_lost,5
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,pose_tracking_restored,4
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,touch_started,3
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,touch_ended,3
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,selection_confirmed,2
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,detail_entered,2
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,space_pressed,2
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,session_start,1
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,intro_back_clicked,1
1,MoveFirst,3,MoveDistance,3,user_events_20260610_141310_102.tsv,session_end,1
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,mode_changed,12
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,touch_started,7
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,touch_ended,7
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,candidate_changed,6
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,pose_tracking_lost,4
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,pose_tracking_restored,4
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,selection_confirmed,3
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,detail_entered,3
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,space_pressed,2
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,detail_exited,2
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,session_start,1
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,intro_back_clicked,1
1,MoveFirst,4,ScreenTouch,1,user_events_20260610_142216_306.tsv,session_end,1
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,mode_changed,22
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,candidate_changed,17
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,pose_tracking_lost,10
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,pose_tracking_restored,10
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,touch_started,10
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,touch_ended,9
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,selection_confirmed,3
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,detail_entered,3
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,space_pressed,2
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,session_start,1
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,intro_back_clicked,1
1,MoveFirst,5,ScreenTouch,2,user_events_20260610_142325_337.tsv,session_end,1
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,mode_changed,13
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,candidate_changed,12
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_started,12
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,touch_ended,11
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,pose_tracking_lost,5
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,pose_tracking_restored,5
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,selection_confirmed,3
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,detail_entered,3
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,space_pressed,2
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,session_start,1
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,detail_exited,1
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,intro_back_clicked,1
1,MoveFirst,6,ScreenTouch,3,user_events_20260610_142511_355.tsv,session_end,1
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,mode_changed,23
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_started,19
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,touch_ended,19
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,candidate_changed,13
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,pose_tracking_lost,6
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,pose_tracking_restored,6
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,selection_confirmed,6
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,detail_entered,6
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,detail_exited,6
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,space_pressed,2
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,session_start,1
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,intro_back_clicked,1
2,TouchFirst,1,ScreenTouch,1,user_events_20260610_144455_266.tsv,session_end,1
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_started,21
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,touch_ended,21
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,mode_changed,12
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,candidate_changed,10
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,selection_confirmed,6
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,detail_entered,6
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,detail_exited,5
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,space_pressed,2
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,session_start,1
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,pose_tracking_lost,1
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,pose_tracking_restored,1
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,intro_back_clicked,1
2,TouchFirst,2,ScreenTouch,2,user_events_20260610_144640_799.tsv,session_end,1
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_started,87
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,touch_ended,86
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,mode_changed,75
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,candidate_changed,32
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,selection_confirmed,31
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,detail_entered,31
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,detail_exited,30
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,pose_tracking_lost,8
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,pose_tracking_restored,7
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,space_pressed,2
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,session_start,1
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,intro_back_clicked,1
2,TouchFirst,3,ScreenTouch,3,user_events_20260610_144754_139.tsv,session_end,1
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,candidate_changed,12
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,mode_changed,9
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,touch_started,5
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,touch_ended,5
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,selection_confirmed,3
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,detail_entered,3
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,detail_exited,2
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,space_pressed,2
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,session_start,1
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,pose_tracking_lost,1
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,pose_tracking_restored,1
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,intro_back_clicked,1
2,TouchFirst,4,MoveDistance,1,user_events_20260610_145432_576.tsv,session_end,1
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,candidate_changed,17
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,mode_changed,6
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,touch_started,3
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,touch_ended,3
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,selection_confirmed,2
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,detail_entered,2
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,space_pressed,2
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,session_start,1
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,pose_tracking_lost,1
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,pose_tracking_restored,1
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,detail_exited,1
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,intro_back_clicked,1
2,TouchFirst,5,MoveDistance,2,user_events_20260610_145538_801.tsv,session_end,1
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,candidate_changed,11
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,mode_changed,9
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,touch_started,5
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,touch_ended,5
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,selection_confirmed,3
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,detail_entered,3
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,detail_exited,2
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,space_pressed,2
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,session_start,1
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,pose_tracking_lost,1
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,pose_tracking_restored,1
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,intro_back_clicked,1
2,TouchFirst,6,MoveDistance,3,user_events_20260610_145619_786.tsv,session_end,1
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,candidate_changed,28
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,mode_changed,16
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,pose_tracking_lost,5
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,touch_started,5
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,touch_ended,5
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,pose_tracking_restored,4
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,selection_confirmed,3
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,detail_entered,3
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,detail_exited,2
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,space_pressed,2
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,session_start,1
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,intro_back_clicked,1
3,MoveFirst,1,MoveDistance,1,user_events_20260610_151932_608.tsv,session_end,1
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,candidate_changed,20
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,mode_changed,10
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,touch_started,5
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,touch_ended,5
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,selection_confirmed,3
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,detail_entered,3
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,pose_tracking_lost,2
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,space_pressed,2
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,detail_exited,2
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,session_start,1
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,pose_tracking_restored,1
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,intro_back_clicked,1
3,MoveFirst,2,MoveDistance,2,user_events_20260610_152122_594.tsv,session_end,1
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,mode_changed,10
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,candidate_changed,8
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,touch_started,5
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,touch_ended,5
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,selection_confirmed,3
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,detail_entered,3
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,pose_tracking_lost,2
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,space_pressed,2
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,detail_exited,2
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,session_start,1
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,pose_tracking_restored,1
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,intro_back_clicked,1
3,MoveFirst,3,MoveDistance,3,user_events_20260610_152243_982.tsv,session_end,1
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,touch_started,34
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,touch_ended,34
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,mode_changed,27
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,candidate_changed,12
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,selection_confirmed,12
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,detail_entered,12
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,detail_exited,11
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,pose_tracking_lost,3
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,pose_tracking_restored,2
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,space_pressed,2
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,session_start,1
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,intro_back_clicked,1
3,MoveFirst,4,ScreenTouch,1,user_events_20260610_152641_898.tsv,session_end,1
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,mode_changed,24
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,touch_started,22
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,touch_ended,21
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,candidate_changed,9
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,selection_confirmed,9
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,detail_entered,9
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,detail_exited,8
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,pose_tracking_lost,4
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,pose_tracking_restored,4
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,space_pressed,2
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,session_start,1
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,intro_back_clicked,1
3,MoveFirst,5,ScreenTouch,2,user_events_20260610_152858_170.tsv,session_end,1
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,mode_changed,23
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,touch_started,13
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,touch_ended,13
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,candidate_changed,12
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,pose_tracking_lost,9
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,pose_tracking_restored,8
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,selection_confirmed,4
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,detail_entered,4
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,detail_exited,3
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,space_pressed,2
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,session_start,1
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,intro_back_clicked,1
3,MoveFirst,6,ScreenTouch,3,user_events_20260610_153046_860.tsv,session_end,1
